eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,theta,model_id
2.1017656326293945,0.033,30.347,30.347,1.0,5,,,,,,3.0000000000000053,1
2.106778621673584,0.0313,31.996,31.996,2.0,10,,,,,,3.0000000000000053,1
2.112311363220215,0.0325,30.791,30.791,3.0,15,,,,,,3.0000000000000053,1
2.1198151111602783,0.047,21.271,21.271,4.0,20,,,,,,3.0000000000000053,1
2.1251392364501953,0.0478,20.903,20.903,5.0,25,,,,,,3.0000000000000053,1
2.130599021911621,0.0313,31.996,31.996,6.0,30,,,,,,3.0000000000000053,1
2.136753797531128,0.0325,30.776,30.776,7.0,35,,,,,,3.0000000000000053,1
2.1409497261047363,0.0385,25.976,25.976,8.0,40,,,,,,3.0000000000000053,1
2.1444296836853027,0.046,21.742,21.742,9.0,45,,,,,,3.0000000000000053,1
2.147113800048828,0.0469,21.34,21.34,10.0,50,,,,,,3.0000000000000053,1
2.1478278636932373,0.0469,21.331,21.331,11.0,55,,,,,,3.0000000000000053,1
2.148988723754883,0.0313,31.993,31.993,12.0,60,,,,,,3.0000000000000053,1
2.1496243476867676,0.0831,12.027,12.027,13.0,65,,,,,,3.0000000000000053,1
2.1501922607421875,0.0318,31.401,31.401,14.0,70,,,,,,3.0000000000000053,1
2.150540828704834,0.0312,32.001,32.001,15.0,75,,,,,,3.0000000000000053,1
,,,,15.0,75,30.4818,9.842,2.46,137148658055136.0,9.022948404947917,3.0000000000000053,1
2.150506019592285,0.0312,32.006,32.006,1.0,5,,,,,,3.0000000000000053,1
2.150534152984619,0.0323,30.913,30.913,2.0,10,,,,,,3.0000000000000053,1
,,,,2.0,10,3.5362,11.311,2.828,15610061202432.0,8.93538818359375,3.0000000000000053,1
2.15187931060791,0.071,14.082,14.082,1.0,5,,,,,,2.9000000000000057,2
2.151979923248291,0.0748,13.377,13.377,2.0,10,,,,,,2.9000000000000057,2
,,,,2.0,10,3.8292,10.446,2.612,15610061202432.0,8.931960296630859,2.9000000000000057,2
2.1533477306365967,0.0625,16.0,16.0,1.0,5,,,,,,2.800000000000005,3
2.1534461975097656,0.0469,21.33,21.33,2.0,10,,,,,,2.800000000000005,3
,,,,2.0,10,3.5891,11.145,2.786,15610061202432.0,8.928387451171876,2.800000000000005,3
2.1549110412597656,0.0475,21.056,21.056,1.0,5,,,,,,2.7000000000000046,4
2.1550467014312744,0.0312,32.009,32.009,2.0,10,,,,,,2.7000000000000046,4
,,,,2.0,10,3.5287,11.336,2.834,15610061202432.0,8.92438201904297,2.7000000000000046,4
2.156681537628174,0.0313,31.993,31.993,1.0,5,,,,,,2.600000000000005,5
2.156874656677246,0.045,22.222,22.222,2.0,10,,,,,,2.600000000000005,5
,,,,2.0,10,3.509,11.399,2.85,15610061202432.0,8.917006683349609,2.600000000000005,5
2.159076690673828,0.0313,31.991,31.991,1.0,5,,,,,,2.5000000000000053,6
2.159259796142578,0.0313,31.999,31.999,2.0,10,,,,,,2.5000000000000053,6
,,,,2.0,10,3.4989,11.432,2.858,15610061202432.0,8.910603332519532,2.5000000000000053,6
2.1624345779418945,0.0313,31.991,31.991,1.0,5,,,,,,2.400000000000005,7
2.1622941493988037,0.0498,20.065,20.065,2.0,10,,,,,,2.400000000000005,7
,,,,2.0,10,3.5144,11.382,2.845,15610061202432.0,8.912383270263671,2.400000000000005,7
2.162597179412842,0.032,31.247,31.247,1.0,5,,,,,,2.3000000000000043,8
2.1623282432556152,0.0494,20.254,20.254,2.0,10,,,,,,2.3000000000000043,8
,,,,2.0,10,3.5168,11.374,2.844,15610061202432.0,8.90509033203125,2.3000000000000043,8
2.164607524871826,0.0508,19.681,19.681,1.0,5,,,,,,2.2000000000000046,9
2.164226770401001,0.0312,32.009,32.009,2.0,10,,,,,,2.2000000000000046,9
,,,,2.0,10,3.5203,11.363,2.841,15610061202432.0,8.909597015380859,2.2000000000000046,9
2.1637046337127686,0.0313,31.994,31.994,1.0,5,,,,,,2.100000000000005,10
