eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,theta,model_id
2.251879930496216,0.0343,116.593,29.148,1.0,2,,,,,,3.0000000000000053,1
2.251641273498535,0.0469,85.277,21.319,2.0,4,,,,,,3.0000000000000053,1
2.251445770263672,0.0348,115.069,28.767,3.0,6,,,,,,3.0000000000000053,1
2.251406192779541,0.043,93.008,23.252,4.0,8,,,,,,3.0000000000000053,1
2.2513794898986816,0.0363,110.255,27.564,5.0,10,,,,,,3.0000000000000053,1
2.25132417678833,0.0317,126.044,31.511,6.0,12,,,,,,3.0000000000000053,1
2.251326084136963,0.0341,117.263,29.316,7.0,14,,,,,,3.0000000000000053,1
2.2513108253479004,0.0339,117.894,29.473,8.0,16,,,,,,3.0000000000000053,1
2.25123929977417,0.034,117.725,29.431,9.0,18,,,,,,3.0000000000000053,1
2.2512166500091553,0.0321,124.751,31.188,10.0,20,,,,,,3.0000000000000053,1
,,,,10.0,20,6.639,30.125,3.012,28853565993864.0,5.665089797973633,3.0000000000000053,1
2.251368761062622,0.0312,128.002,32.0,1.0,2,,,,,,3.0000000000000053,1
2.251296281814575,0.0469,85.299,21.325,2.0,4,,,,,,3.0000000000000053,1
,,,,2.0,4,1.3428,29.789,2.979,5314938979440.0,5.585152626037598,3.0000000000000053,1
2.251373767852783,0.0469,85.358,21.34,1.0,2,,,,,,2.9000000000000057,2
2.251274347305298,0.0335,119.539,29.885,2.0,4,,,,,,2.9000000000000057,2
,,,,2.0,4,1.3285,30.109,3.011,5314938979440.0,5.576751708984375,2.9000000000000057,2
2.2513046264648438,0.0318,125.882,31.471,1.0,2,,,,,,2.800000000000005,3
2.2512710094451904,0.0492,81.311,20.328,2.0,4,,,,,,2.800000000000005,3
,,,,2.0,4,1.3474,29.686,2.969,5314938979440.0,5.570427894592285,2.800000000000005,3
2.2512476444244385,0.0313,127.96,31.99,1.0,2,,,,,,2.7000000000000046,4
2.2513513565063477,0.0484,82.634,20.658,2.0,4,,,,,,2.7000000000000046,4
,,,,2.0,4,1.3668,29.265,2.926,5314938979440.0,5.565257549285889,2.7000000000000046,4
2.2514145374298096,0.0625,63.963,15.991,1.0,2,,,,,,2.600000000000005,5
2.2512354850769043,0.0313,127.922,31.98,2.0,4,,,,,,2.600000000000005,5
,,,,2.0,4,1.3455,29.728,2.973,5314938979440.0,5.561225414276123,2.600000000000005,5
2.2514240741729736,0.0318,125.856,31.464,1.0,2,,,,,,2.5000000000000053,6
2.251354694366455,0.0489,81.867,20.467,2.0,4,,,,,,2.5000000000000053,6
,,,,2.0,4,1.3493,29.644,2.964,5314938979440.0,5.556812763214111,2.5000000000000053,6
2.2514028549194336,0.0312,128.012,32.003,1.0,2,,,,,,2.400000000000005,7
